Subzone,Population,subzone
Ang Mo Kio Town Centre,2260,ANG MO KIO TOWN CENTRE
Cheng San,13480,CHENG SAN
Chong Boon,12860,CHONG BOON
Kebun Bahru,10660,KEBUN BAHRU
Sembawang Hills,3210,SEMBAWANG HILLS
Shangri0La,7780,SHANGRI0LA
Tagore,3790,TAGORE
Townsville,9930,TOWNSVILLE
Yio Chu Kang,undefined,YIO CHU KANG
Yio Chu Kang East,2090,YIO CHU KANG EAST
Yio Chu Kang North,undefined,YIO CHU KANG NORTH
Yio Chu Kang West,11520,YIO CHU KANG WEST
Total,134210,TOTAL
Bayshore,3580,BAYSHORE
Bedok North,39700,BEDOK NORTH
Bedok Reservoir,12480,BEDOK RESERVOIR
Bedok South,22540,BEDOK SOUTH
Frankel,16260,FRANKEL
Kaki Bukit,18210,KAKI BUKIT
Kembangan,18460,KEMBANGAN
Siglap,2980,SIGLAP
Total,42260,TOTAL
Bishan East,13420,BISHAN EAST
Marymount,14680,MARYMOUNT
Upper Thomson,14160,UPPER THOMSON
Total,undefined,TOTAL
Liu Fang,undefined,LIU FANG
Samulun,undefined,SAMULUN
Shipyard,undefined,SHIPYARD
Tukang,undefined,TUKANG
Total,77480,TOTAL
Brickworks,9800,BRICKWORKS
Bukit Batok Central,13290,BUKIT BATOK CENTRAL
Bukit Batok East,6290,BUKIT BATOK EAST
Bukit Batok South,7360,BUKIT BATOK SOUTH
Bukit Batok West,7300,BUKIT BATOK WEST
Gombak,4840,GOMBAK
Guilin,6290,GUILIN
Hillview,9290,HILLVIEW
Hong Kah North,13030,HONG KAH NORTH
Total,72730,TOTAL
Alexandra Hill,6630,ALEXANDRA HILL
Alexandra North,1230,ALEXANDRA NORTH
Bukit Ho Swee,7050,BUKIT HO SWEE
Bukit Merah,550,BUKIT MERAH
City Terminals,undefined,CITY TERMINALS
Depot Road,3090,DEPOT ROAD
Everton Park,3680,EVERTON PARK
Henderson Hill,6490,HENDERSON HILL
Kampong Tiong Bahru,4440,KAMPONG TIONG BAHRU
Maritime Square,1770,MARITIME SQUARE
Redhill,5150,REDHILL
Singapore General Hospital,undefined,SINGAPORE GENERAL HOSPITAL
Telok Blangah Drive,9170,TELOK BLANGAH DRIVE
Telok Blangah Rise,5740,TELOK BLANGAH RISE
Telok Blangah Way,4610,TELOK BLANGAH WAY
Tiong Bahru,5990,TIONG BAHRU
Tiong Bahru Station,7140,TIONG BAHRU STATION
Total,68150,TOTAL
Bangkit,11010,BANGKIT
Dairy Farm,3350,DAIRY FARM
Fajar,13870,FAJAR
Jelebu,15370,JELEBU
Nature Reserve,1810,NATURE RESERVE
Saujana,12830,SAUJANA
Senja,9920,SENJA
Total,35980,TOTAL
Anak Bukit,10370,ANAK BUKIT
Coronation Road,3050,CORONATION ROAD
Farrer Court,2900,FARRER COURT
Hillcrest,4170,HILLCREST
Holland Road,4800,HOLLAND ROAD
Leedon Park,2960,LEEDON PARK
Swiss Club,2470,SWISS CLUB
Ulu Pandan,5280,ULU PANDAN
Total,undefined,TOTAL
Central Water Catchment,undefined,CENTRAL WATER CATCHMENT
Total,960,TOTAL
Changi Airport,undefined,CHANGI AIRPORT
Changi Point,300,CHANGI POINT
Changi West,660,CHANGI WEST
Total,undefined,TOTAL
Changi Bay,undefined,CHANGI BAY
Total,95690,TOTAL
Choa Chu Kang Central,11180,CHOA CHU KANG CENTRAL
Choa Chu Kang North,15860,CHOA CHU KANG NORTH
Keat Hong,19010,KEAT HONG
Peng Siang,17340,PENG SIANG
Teck Whye,12190,TECK WHYE
Yew Tee,20100,YEW TEE
Total,43630,TOTAL
Clementi Central,6600,CLEMENTI CENTRAL
Clementi North,13400,CLEMENTI NORTH
Clementi West,7310,CLEMENTI WEST
Clementi Woods,7660,CLEMENTI WOODS
Faber,2620,FABER
Pandan,undefined,PANDAN
Sunset Way,2640,SUNSET WAY
Toh Tuck,undefined,TOH TUCK
West Coast,3370,WEST COAST
Total,1590,TOTAL
Anson,undefined,ANSON
Bayfront Subzone,undefined,BAYFRONT SUBZONE
Bugis,440,BUGIS
Cecil,130,CECIL
Central Subzone,410,CENTRAL SUBZONE
City Hall,undefined,CITY HALL
Clifford Pier,undefined,CLIFFORD PIER
Marina Centre,undefined,MARINA CENTRE
Maxwell,undefined,MAXWELL
Nicoll,150,NICOLL
Phillip,undefined,PHILLIP
Raffles Place,undefined,RAFFLES PLACE
Tanjong Pagar,350,TANJONG PAGAR
Total,54260,TOTAL
Aljunied,19740,ALJUNIED
Geylang East,14540,GEYLANG EAST
Kallang Way,undefined,KALLANG WAY
Kampong Ubi,5890,KAMPONG UBI
Macpherson,14070,MACPHERSON
Total,111490,TOTAL
Defu Industrial Park,undefined,DEFU INDUSTRIAL PARK
Hougang Central,2350,HOUGANG CENTRAL
Hougang East,12110,HOUGANG EAST
Hougang West,22410,HOUGANG WEST
Kangkar,15740,KANGKAR
Kovan,11960,KOVAN
Lorong Ah Soo,15270,LORONG AH SOO
Lorong Halus,undefined,LORONG HALUS
Tai Seng,6670,TAI SENG
Trafalgar,24950,TRAFALGAR
Total,38930,TOTAL
International Business Park,undefined,INTERNATIONAL BUSINESS PARK
Jurong Gateway,210,JURONG GATEWAY
Jurong Port,undefined,JURONG PORT
Jurong River,undefined,JURONG RIVER
Lakeside (Business),undefined,LAKESIDE (BUSINESS)
Lakeside (Leisure),570,LAKESIDE (LEISURE)
Penjuru Crescent,undefined,PENJURU CRESCENT
Teban Gardens,9250,TEBAN GARDENS
Toh Guan,7230,TOH GUAN
Yuhua East,12120,YUHUA EAST
Yuhua West,9530,YUHUA WEST
Total,131900,TOTAL
Boon Lay Place,15060,BOON LAY PLACE
Chin Bee,undefined,CHIN BEE
Hong Kah,26650,HONG KAH
Jurong West Central,31810,JURONG WEST CENTRAL
Kian Teck,undefined,KIAN TECK
Safti,undefined,SAFTI
Taman Jurong,19920,TAMAN JURONG
Wenya,4170,WENYA
Yunundefined,34250,YUNUNDEFINED
Total,50040,TOTAL
Bendemeer,18240,BENDEMEER
Boon Keng,5630,BOON KENG
Crawford,4630,CRAWFORD
Geylang Bahru,5620,GEYLANG BAHRU
Kallang Bahru,undefined,KALLANG BAHRU
Kampong Bugis,460,KAMPONG BUGIS
Kampong Java,5140,KAMPONG JAVA
Lavender,5070,LAVENDER
Tanjong Rhu,5230,TANJONG RHU
Total,60,TOTAL
Lim Chu Kang,60,LIM CHU KANG
Total,990,TOTAL
Mandai East,undefined,MANDAI EAST
Mandai Estate,990,MANDAI ESTATE
Mandai West,undefined,MANDAI WEST
Total,undefined,TOTAL
Marina East,undefined,MARINA EAST
Total,undefined,TOTAL
Marina South,undefined,MARINA SOUTH
Total,21700,TOTAL
East Coast,undefined,EAST COAST
Katong,4440,KATONG
Marina East (Mp),undefined,MARINA EAST (MP)
Marine Parade,12530,MARINE PARADE
Mountbatten,4720,MOUNTBATTEN
Total,260,TOTAL
Bras Basah,undefined,BRAS BASAH
Dhoby Ghaut,160,DHOBY GHAUT
Fort Canning,90,FORT CANNING
Total,3950,TOTAL
Cairnhill,1830,CAIRNHILL
Goodwood Park,600,GOODWOOD PARK
Istana Negara,undefined,ISTANA NEGARA
Monk's Hill,520,MONK'S HILL
Newton Circus,140,NEWTON CIRCUS
Orange Grove,840,ORANGE GROVE
Total,undefined,TOTAL
